"event_ticker.kalshi","event_title.kalshi","event_id.polym","event_title.polym","same_question"
"KXNEWPOPE-70","Who will the next Pope be?",19581,"Who will be the next Pope?","TRUE"
"KXNEWPOPEDATE-25","When will the next Pope be announced?",23185,"New Pope announced by...?","FALSE"
"KXPOPEVISITNEXT-26","Which country will the Pope visit next?",24207,"Which country will Pope Leo visit first?","FALSE"
"KXOSCARGUESTS-25","Who will attend the Oscars?",19598,"Who will attend the Oscars?","TRUE"
"KXOSCARWIN-97","Which movie will win the most Oscars?",19002,"Which movie will win the most Oscars?","TRUE"
"KXRTALIENEARTH","""Alien: Earth"" Rotten Tomatoes score?",33874,"""Alien: Earth"" Rotten Tomatoes score?","TRUE"
"KXRTAMERICANA","""Americana"" Rotten Tomatoes score?",32800,"""Americana"" Rotten Tomatoes score?","TRUE"
"KXRTCAPTAINAMERICA","""Captain America: Brave New World"" Rotten Tomatoes score?",17404,"""Captain America: Brave New World"" Rotten Tomatoes score?","TRUE"
"KXRTCAUGHTSTEALING","""Caught Stealing"" Rotten Tomatoes score?",39859,"""Caught Stealing"" Rotten Tomatoes score?","TRUE"
"KXRTF1","""F1"" Rotten Tomatoes score?",26838,"""F1"" Rotten Tomatoes score?","TRUE"
"KXRTFANTASTICFOUR","""The Fantastic Four: First Steps"" Rotten Tomatoes score?",32763,"""The Fantastic Four: First Steps"" Rotten Tomatoes score?","TRUE"
"KXRTFIGHTORFLIGHT","""Fight or Flight"" Rotten Tomatoes score?",22815,"""Fight or Flight"" Rotten Tomatoes score?","TRUE"
"KXRTHIM","""Him"" Rotten Tomatoes score?",39864,"""Him"" Rotten Tomatoes score?","TRUE"
"KXRTLILOANDSTITCH","""Lilo & Stitch"" Rotten Tomatoes score?",24797,"""Lilo & Stitch"" Rotten Tomatoes score?","TRUE"
"KXRTMINECRAFT","""A Minecraft Movie"" Rotten Tomatoes score?",21642,"""A Minecraft Movie"" Rotten Tomatoes score?","TRUE"
"KXRTMOANA2","""Moana 2"" Rotten Tomatoes score?",14845,"""Moana 2"" Rotten Tomatoes score?","TRUE"
"KXRTNOBODY2","""Nobody 2"" Rotten Tomatoes score?",32801,"""Nobody 2"" Rotten Tomatoes score?","TRUE"
"KXRTROOFMAN","""Roofman"" Rotten Tomatoes score?",57135,"""Roofman"" Rotten Tomatoes score?","TRUE"
"KXRTSMURFS","""Smurfs"" Rotten Tomatoes score?",26841,"""Smurfs"" Rotten Tomatoes score?","TRUE"
"KXRTSUPERMAN","""Superman"" Rotten Tomatoes score?",26840,"""Superman"" Rotten Tomatoes score?","TRUE"
"KXRTTHESMASHINGMACHINE","""The Smashing Machine"" Rotten Tomatoes score?",41312,"""The Smashing Machine"" Rotten Tomatoes score?","TRUE"
"KXRTTHUNDERBOLTS","""Thunderbolts"" Rotten Tomatoes score?",22814,"""Thunderbolts"" Rotten Tomatoes score?","TRUE"
"KXRTWEAPONS","""Weapons"" Rotten Tomatoes score?",32770,"""Weapons"" Rotten Tomatoes score?","TRUE"
"RTWITCHERS4","""The Witcher: Season 4"" Rotten Tomatoes score?",33872,"""The Witcher: Season 4"" Rotten Tomatoes score?","TRUE"
"KXTOP10TAYLORSWIFT-25OCT18-TAY","Taylor Swift holds top ten spots on the Billboard Hot 100 for the week of October 18th?",37575,"Taylor Swift holds top ten spots on the Billboard Hot 100 for the week of October 18th?","TRUE"
"KXTOPALBUMRECORDTLOASG-TLOASG","How many straight weeks will 'The Life of a Showgirl' be #1?",37219,"How many straight weeks will 'The Life of a Showgirl' be #1?","TRUE"
"KXRTHOWTOTRAINYOURDRAGON","""How to Train Your Dragon"" Rotten Tomatoes score?",25225,"""How to Train Your Dragon"" Rotten Tomatoes score?","TRUE"
"KXRTROSES","""The Roses"" Rotten Tomatoes score?",39858,"""The Roses"" Rotten Tomatoes score?","TRUE"
"KXRTJWBALLERINA","""From the World of John Wick: Ballerina"" Rotten Tomatoes score?",25226,"""From the World of John Wick: Ballerina"" Rotten Tomatoes score?","TRUE"
"KXRTDOWNTONABBEY","""Downton Abbey: The Grand Finale"" Rotten Tomatoes score?",39867,"""Downton Abbey: The Grand Finale"" Rotten Tomatoes score?","TRUE"
"KXRTKARATEKIDLEGENDS","""Karate Kid: Legends"" Rotten Tomatoes score?",25224,"""Karate Kid: Legends"" Rotten Tomatoes score?","TRUE"
"KXRTBLACKPHONE2","""Black Phone 2"" Rotten Tomatoes score?",52708,"""Black Phone 2"" Rotten Tomatoes score?","TRUE"
"KXRTCONJURING","""The Conjuring: Last Rites"" Rotten Tomatoes score?",39865,"""The Conjuring: Last Rites"" Rotten Tomatoes score?","TRUE"
"KXRTHAPPYGILMORE2","""Happy Gilmore 2"" Rotten Tomatoes score?",32733,"""Happy Gilmore 2"" Rotten Tomatoes score?","TRUE"
"KXRTTHELONGWALK","""The Long Walk"" Rotten Tomatoes score?",41306,"""The Long Walk"" Rotten Tomatoes score?","TRUE"
"KXRTACCOUNTANT2","""The Accountant 2"" Rotten Tomatoes score?",22811,"""The Accountant 2"" Rotten Tomatoes score?","TRUE"
"KXMISSIONIMPOSSIBLE","""Mission: Impossible – The Final Reckoning"" Rotten Tomatoes score?",22813,"""Mission: Impossible – The Final Reckoning"" Rotten Tomatoes score?","TRUE"
"KXRTNAKEDGUN","""The Naked Gun"" Rotten Tomatoes score?",32773,"""The Naked Gun"" Rotten Tomatoes score?","TRUE"
"KXRTONEBATTLEAFTERANOTHER","""One Battle After Another"" Rotten Tomatoes score?",39863,"""One Battle After Another"" Rotten Tomatoes score?","TRUE"
"KXRTJURASSICWORLDREBIRTH","""Jurassic World Rebirth"" Rotten Tomatoes score?",26839,"""Jurassic World: Rebirth"" Rotten Tomatoes score?","TRUE"
"KXSPOTIFYALBUMTSWIFT-25","When will Taylor Swift release 'The Life of a Showgirl'?",37163,"When will Taylor Swift release “The Life of a Showgirl”?","TRUE"
"KXRTTHEAMATEUR","""The Amateur"" Rotten Tomatoes score?",22496,"'The Amateur' Rotten Tomatoes score?","TRUE"
"KXTOP10SABRINAC-25SEP13-SAB","Sabrina Carpenter holds top ten spots on the Billboard Hot 100 for the week of September 13th?",40071,"Sabrina Carpenter holds 3 top 10 spots on Billboard Hot 100 for week of September 13th?","FALSE"
"KXOSCARCOUNTWICKED","How many Oscars will “Wicked” win?",19005,"How many Oscars will 'Wicked' win?","TRUE"
"KXOSCARCOUNTBRUTALIST","How many Oscars will “The Brutalist” win?",19003,"How many Oscars will 'The Brutalist' win?","TRUE"
"KXEUROVISIONHOST-26","Which city will host Eurovision in 2026?",26655,"Which city will host Eurovision 2026?","TRUE"
"KXTOPPOP","Who will be the Billboard’s #1 pop star of the century?",14233,"Who will be the Billboard #1 pop star of the century?","TRUE"
"KXRTSONIC3","""Sonic The Hedgehog 3"" Rotten Tomatoes score?",15362,"""Sonic 3"" Rotten Tomatoes score?","TRUE"
"KXELONATTEND-25","Will Elon Musk attend any UFC event this year?",37981,"Will Elon Musk attend a UFC event by December 31?","TRUE"
"KXMCBORDERLANDSFOUR","""Borderlands 4"" Metacritic score?",34901,"""Borderlands 4"" Metacritic Score","TRUE"
"KXMCHKSILKSONG","""Hollow Knight: Silksong"" Metacritic score?",39837,"""Hollow Knight: Silksong"" Metacritic Score","TRUE"
"KXPLAYBOICARTI-25","Will Playboi Carti release another album this year?",21641,"Will Playboi Carti release another album before August?","FALSE"
"KXEUROVISION-25","Eurovision Winner 2025?",17738,"Eurovision Winner 2025","TRUE"
"KXRTMUFASA","""Mufasa"" Rotten Tomatoes score?",15343,"""Mufasa: The Lion King"" Rotten Tomatoes score?","TRUE"
"KXMCMETALGEARSOLIDDELTASNAKEEATER","""Metal Gear Solid Delta: Snake Eater"" Metacritic score?",34900,"""Metal Gear Solid Delta: Snake Eater"" Metacritic Score","TRUE"
"KXOSCARCOUNTEMILIAPEREZ","How many Oscars will “Emilia Perez” win?",17791,"How many Oscars will 'Emilia Pérez' win?","TRUE"
"KXKXTOPTENJUSTINBIEBER-25JUL26-JUS","Justin Bieber holds top ten spots on the Billboard Hot 100 for the week of July 26?",41920,"Justin Bieber holds 2 top 10 spots on Billboard Hot 100 for week of September 20th?","FALSE"
"KXLEASTSTREAMEDSONGTLOASG-25OCT10","Least streamed song on 'The Life of a Showgirl' by Oct 10th?",53251,"Least streamed song on The Life of a Showgirl by Oct 10th?","TRUE"
"KXMOSTSTREAMESTSTLOASG-25OCT10","Most streamed song on 'The Life of a Showgirl' by Oct 10th?",52393,"Most streamed song on 'The Life of a Showgirl' by Oct 10th?","TRUE"
"KXWL-25","Who will die in the White Lotus season 3 finale?",22022,"Who will die on The White Lotus (S3)?","TRUE"
"KXMCPOKEMONLEGENDSZA","""Pokemon Legends: Z-A"" Metacritic score?",34902,"""Pokémon Legends: Z-A"" Metacritic Score","TRUE"
"KXRTTRONARES","""Tron: Ares"" Rotten Tomatoes score?",41310,"""Trone: Ares"" Rotten Tomatoes score?","FALSE"
"KXCRITICSCINE-25","Critics Choice Award for Best Cinematography?",17799,"Critics' Choice: Best Cinematography","TRUE"
"KXRTSINNERS","""Sinners"" Rotten Tomatoes score?",22820,"""Sinners"" Rotten Tomatoes score >95?","FALSE"
"KXTIMEHUMAN-25","TIME's Person of the Year for 2025 is a human?",53041,"Will TIME's Person of the Year for 2025 be a human?","TRUE"
"KXGRAMBCS-67","Grammy for Best Country Song?",16986,"Grammys: Best Country Song","TRUE"
"KXGRAMBRBS-67","Grammy for Best R&B Song?",16988,"Grammys: Best R&B Song","TRUE"
"KXCRITICSLSERIESACTR-25","Critics Choice Award for Best Supporting Actress?",17798,"Critics' Choice: Best Supporting Actress","TRUE"
"KXGRAMBCA-67","Grammy for Best Country Album?",16803,"Grammys: Best Country Album","TRUE"
"KXCRITICSACTR-25","Critics Choice Award for Best Actress?",17795,"Critics' Choice: Best Actress","TRUE"
"KXCRITICSFOREIGN-25","Critics Choice Award for Best Foreign Language Film?",17800,"Critics' Choice: Best Foreign Language Film","TRUE"
"NEWALBUMKDOT-24","When will Kendrick Lamar release a new album?",14829,"Will Kendrick Lamar release another album in 2024?","FALSE"
"KXMIRAGE-25","When will The Brooklyn Mirage re-open in 2025?",23266,"Will the Brooklyn Mirage reopen by May 1?","FALSE"
"KXTRUMPUFC-26JAN01","Will Trump attend another UFC event this year?",31885,"Will Trump attend UFC 318?","TRUE"
"KX1SONGJUSTINBIEBER-DEC2726","Will Justin Bieber have a #1 hit?",41862,"Will a Justin Bieber song reach #1 this year?","TRUE"
"KXTIMEPOTYWOMAN-25","TIME's Person of the Year for 2025 is a woman?",32288,"Will TIME's Person of the Year for 2025 be a woman?","TRUE"
"GTA6","GTA 6 release date?",902538,"GTA 6 release date by end of year?","The two questions are not logically equivalent. Question 1 asks for the release date of GTA 6, while Question 2 specifies a timeframe by asking if it will be released by the end of the year. The two questions could have different answers. Therefore, the answer is FALSE."
"KXDRAKEUMGSUIT-27","Will Drake win his lawsuit against UMG?",21164,"Drake's lawsuit vs. UMG dismissed before July?","FALSE"
"KXZUCKMUSK-25","Will Zuckerberg and Musk fight this year?",902300,"Will Musk fight Zuck in 2023?","TRUE"
"KXESPYBESTATHLETEWOMEN-25","Best Athlete – Women’s Sports winner at the ESPYS?",32566,"ESPYS: Best Athlete - Women's Sports","TRUE"
"KXENGAGEMENTTIMOTHEEKYLIE-25","Will Timothée Chalamet and Kylie Jenner be engaged in 2025?",23328,"Timothée Chalamet and Kylie Jenner engaged in 2025?","TRUE"
"KXESPYTENNIS-25","Best Tennis Player winner at the ESPYS?",32608,"ESPYS: Best Tennis Player","TRUE"
"KXMRBEAST50M-25DEC31","Will any Mr. Beast video get more than 50 million views a week after upload?",4994,"Will MrBeast's next Youtube video get over 50M views in its first week?","TRUE"
"KXBTS-26","Will BTS announce a world tour in 2025?",16191,"Will BTS announce a new world tour in 2025?","TRUE"
"KXESPYSOCCER-25","Best Soccer Player winner at the ESPYS?",32606,"ESPYS: Best Soccer Player","TRUE"
"KXESPYBESTATHLETEMEN-25","Best Athlete – Men’s Sports winner at the ESPYS?",32564,"ESPYS: Best Athlete - Men's Sports","TRUE"
"KXTOP10BILLBOARDSPOTJB-25","How many spots on the Billboard Hot 100's top 10 will Justin Bieber hold for the week of Sep 20th?",41861,"Justin Bieber holds 2 top 10 spots on Billboard Hot 100 for week of September 13th?","FALSE"
"KXSUPERBOWLHEADLINE-26","Who will headline the Pro Football Championship halftime show?",28829,"Who will perform at Super Bowl halftime show?","TRUE"
"KXOSCARNOMSBANIMATEDF-26","Oscar nominations for Best Animated Feature Film?",903569,"Oscars: Best Animated Feature Film","TRUE"
"KXOSCARINTLFILM-25","Oscar for Best International Feature Film?",19070,"Oscars: Best  International Feature Film","TRUE"
"DONDA2-22FEB22","Donda 2 release by Feb 22, 2022?",3701,"Will Kanye West release 'Donda 2' (or another new album) by 2/22/22?","TRUE"
"KXTAYLORSWIFTWEDDINGATTEND-28DEC31","Who will attend Taylor Swift and Travis Kelce's Wedding?",39839,"Taylor Swift x Travis Kelce get married by...?","FALSE"
"KXESPYMLB-25","Best Baseball Player winner at the ESPYS?",32599,"ESPYS: Best MLB Player","FALSE"
"KXANIMEBSC-25","2025 Crunchyroll Anime Award for Best Supporting Character?",24522,"Crunchyroll: Best Supporting Character","TRUE"
"KXGRAMMYCOUNTBILLIE","How many Grammys will Billie Eilish win?",3983,"GRAMMYs 2022: Will Billie Eilish win a Grammy?","TRUE"
"KXSPOTIFYSONG-25","Who will release a new song this year?",57026,"Which artists will release a new song before 2026?","FALSE"
"KXYTUBESUBSKAICENAT-25","How many subscribers will Kai Cenat get in 2025?",40694,"Will Kai Cenat hit 1m Twitch subscribers by September 15th?","FALSE"
"KXHULKHOGANATTEND-26","Who will attend Hulk Hogan's funeral?",34040,"Will Trump attend Hulk Hogan's funeral?","FALSE"
"KXEUROVISIONJURY-25","Eurovision: who will win the Jury Vote?",22893,"Eurovision 2025: Jury Winner","TRUE"
"KXOSCARNOMBCASTING-26","Oscar nominations for Achievement in Casting?",50408,"Oscars 2026: Achievement in Casting Nominations","TRUE"
"KXGRAMMYNOMBRA-68","2026 Grammy nominations for Best Rap Album?",56676,"Grammys: Best Rap Album Nominations","TRUE"
"KXNORWAYPF-25SEP08","Will the Patient Focus (PF) win a seat in the Norwegian Election?",38544,"Will the Patient Focus (PF) win a seat in Norwegian Election?","TRUE"
"KXMAYORCHI-27","Who will win Chicago Mayoral Election?",901219,"Who will win the Chicago Mayoral Election?","TRUE"
"KXMOLDOVAMAJORITY-25SEP28","Will PAS win a majority of seats in the Moldova Parliamentary election?",45010,"Will PAS win a majority of seats in Moldova elections?","TRUE"
"KXVOTEPERCENTNOFRP-25SEP08","Will the Progress Party (FrP) win over 22% of the vote in the Norwegian election?",38539,"Will the Progress Party (FrP) win 22% or more of vote in Norwegian election?","TRUE"
"KXNORWAYRED-25SEP08","How many seats will the Red Bloc win in the Norwegian parliamentary election?",38549,"How many seats will the red bloc win in Norwegian Election?","TRUE"
"KXNORWAYLABOUR-25SEP08","How many seats will the Labour Party (Ap) win in the 2025 Norwegian general election?",41371,"How many seats will the Labour Party (Ap) win in Norwegian Election?","TRUE"
"KXLINKEPERCENT-25","Will the Left get 5% of the vote in the German election?",17241,"Will The Left wins 5% or more of vote in German election?","TRUE"
"KXNORWAYCON-25SEP08","How many seats will the Conservative Party (H) win in the 2025 Norwegian general election?",41372,"How many seats will the Conservative Party (H) win in Norwegian Election?","FALSE"
"KXCANGREENSEATS-25","How many seats will the Green Party win in the Canadian election?",21307,"# of seats the Green Party wins in Canadian Election?","TRUE"
"KXVOTEPERCENTNOLIB-25SEP08","Will the Liberal Party (V) win 4% or more of vote in the Norwegian election?",38552,"Liberal Party (V) wins 4% or more of vote in Norwegian election?","TRUE"
"KXCHILE1ROUND-25","Will a candidate win outright in Chile’s first round?",35722,"Will any presidential candidate win outright in the first round of the Chile's election?","TRUE"
"KXELECTIONMOVNJGOV-25NOV04","Margin of victory for Mikie Sherrill in New Jersey Governor election?",43172,"New Jersey Governor Election Mikie Sherrill margin of victory?","TRUE"
"KXPERUPRES-26","Who will win the next Peruvian presidential election?",3189,"Who will win the 2021 Peruvian Presidential Election?","TRUE"
"KXVIRGINIAHOUSEDEMS-25NOV04","How many seats will Democrats win in the Virginia House of Delegates?",42604,"How many seats will the Democrats win in the 2025 Virginia House of Delegates election?","FALSE"
"KXBOLIVIARUNOFF-25","Who will advance to Bolivia's Presidential Runoff?",36090,"Which candidates will advance to Bolivia’s presidential runoff?","TRUE"
"KXVOTEPERCENTPIRATES-25OCT04","Will the Pirates win 10% or more of vote in the Czech election?",39635,"Pirates wins 10% or more of vote in Czech election?","TRUE"
"KXFRENCHPRES-27","Who will win the 2027 French presidential election?",5787,"Who will win the 2022 French presidential election?","FALSE"
"KXARGENTINAPARTY","Which party will win the most seats in the Argentina Chamber of Deputies elections?",17821,"Which party gains most seats in Argentina Deputies Election?","TRUE"
"KXCOLOMBIAPRES-26","Who will win the next Colombian presidential election?",5822,"Who will win the 2022 Colombian presidential election?","TRUE"
"KXELECTIONMOVVA11-25SEP09","Democratic margin of victory in VA-11 special election?",42647,"Democratic Margin of victory in VA-11 special election at least 45%?","FALSE"
"KXELECTIONMOVVAGOV-25NOV04","Margin of victory for Abigail Spanberger in Virginia Governor election?",43173,"Virginia Governor Election Abigail Spanberger  margin of victory?","TRUE"
"KXBRPRES-26","Who will win the Brazil presidential election?",5796,"Who will win the 2022 Brazilian presidential election?","FALSE"
"KXPRESCHILER1-25NOV16","Who will win the first round of the 2025 Chile Presidential election?",4886,"Who will win the 2021 Chilean presidential elections?","FALSE"
"KXROMANIATOP-30","Who will be 1st in the Romanian election first round?",15196,"Which candidates will advance in Romanian Election 1st round?","FALSE"
"KXPCTVOTEMAM-26","Will Zohran Mamdani win at least 50% of the vote in the NYC Mayoral Election?",42290,"Zohran Mamdani % of vote in 2025 NYC mayoral election?","FALSE"
"KXVOTEPERCENTAUTO-25OCT04","What % of the vote will AUTO get in the Czech election?",39624,"AUTO % of vote in Czech Election?","TRUE"
"KXPCTVOTEMAMR1-25","Zohran Mamdani NYC Primary First Round Percent of Vote",28171,"Zohran Mamdani 1st round % of vote in NYC Dem mayoral primary?","TRUE"
"KXCANBQSEATS-25","How many seats will the Bloc Québécois win in the Canadian election?",21304,"# of seats Bloc Quebecois win in Canadian Election?","TRUE"
"KXVOTEPERCENTSTAN-25OCT04","Will STAN win 10% or more of the vote in the Czech election?",39634,"Starostové (STAN) wins 10% or more of vote in Czech election?","TRUE"
"PRESPARTYPA-24","Who will win Pennsylvania in the presidential election?",903667,"Who will win Pennsylvania?","TRUE"
"PRESPARTYNV-24","Who will win Nevada in the presidential election?",903637,"Who will win Nevada?","TRUE"
"KXCANLIBSEATS-25","How many seats will the Liberal Party win in the Canadian election?",21245,"# of seats Liberals win in Canadian Election?","TRUE"
"KXPRESTAIWAN-28","Who will win the next Taiwanese presidential election?",902772,"Taiwan Presidential Election: Who will win?","TRUE"
"KXVOTEPERCENTCUOMO-25NOV04","What % of the vote will Cuomo get in the NYC mayoral election?",42291,"Andrew Cuomo % of vote in 2025 NYC mayoral election?","TRUE"
"KXMAYORJERSEY-25","Who will win the Mayor election in Jersey City?",33838,"Jersey City Mayoral Election","FALSE"
"KXMAYORALBUQ-25","Who will win the Mayor election in Albuquerque?",33857,"Albuquerque Mayoral Election","FALSE"
"KXMAYORMINN-26","Who will win the Mayor election in Minneapolis?",33820,"Minneapolis Mayoral Election","FALSE"
"KXCANCONSEATS-25","How many seats will the Conservatives win in the Canadian election?",21182,"# seats Conservatives win in Canadian Election?","TRUE"
"KXJAMAICANHOR-26","Who will win Jamaica House of Representatives?",37341,"Jamaica House of Representatives Election Winner","TRUE"
"PRESPARTYAZ-24","Who will win Arizona in the presidential election?",903636,"Who will win Arizona?","TRUE"
"KXPCTVOTECUOR1-25","Andrew Cuomo NYC Primary First Round Percent of Vote",28202,"Andrew Cuomo 1st round % of vote in NYC Dem mayoral primary?","TRUE"
"KXELECTIONICOAST-26","Who will win Ivory Coast Presidential Election?",24214,"Ivory Coast Presidential Election","FALSE"
"KXNYCMAYOR2ND-25","Second place in NYC Mayoral election?",26863,"2nd Place in New York City Mayoral Election","TRUE"
"KXBOLIVIAFIRSTROUND-25","Who will win the first round of the Bolivian presidential election?",32586,"Bolivia Presidential Election 1st round winner?","TRUE"
"KXPARTYWINNL-25","Who will win the Netherlands general election?",902875,"Netherlands General Election: Which party will win the most seats?","TRUE"
"PRESPARTYRI-24","Who will win Rhode Island in the presidential election?",903670,"Rhode Island Presidential Election Winner","TRUE"
"KXCANNDPSEATS-25","How many seats will the New Democratic Party win in the Canadian election?",21305,"# of seats NDP win in Canadian Election?","TRUE"
"KXMAYORCLEV-25","Who will win the Mayor election in Cleveland?",33859,"Cleveland Mayoral Election","FALSE"
"KXMAYORNOLA-25","Who will win the Mayor election in New Orleans?",33842,"New Orleans Mayoral Election","FALSE"
"KXPRESNIGERIA-27","Who will win the next Nigerian presidential election?",899343,"Who will win the 2023 Nigerian Presidential Election?","TRUE"
"PRESPARTYMT-24","Who will win Montana in the presidential election?",903633,"Montana Presidential Election Winner","TRUE"
"KXVOTEPERCENTSLIWA-25NOV04","What % of the vote will Sliwa get in the NYC mayoral election?",42272,"Curtis Sliwa % of vote in 2025 NYC mayoral election?","TRUE"
"KXVOTEPERCENTMAMDANI-25NOV04","What % of the vote will Mamdani get in the NYC mayoral election?",32592,"How many boroughs will Mamdani win in NYC Mayoral Election?","FALSE"
"KXMAYORDETROIT-25","Who will win the Mayor election in Detroit?",33850,"Detroit Mayoral Election","FALSE"
